scope,model_1,model_2,b,c,p_raw,p_adj_bh,significant
AI-R,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF0-AIF100__4,5,3,0.726562,0.885307,False
HF,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF0-AIF100__4,60,0,0.0,0.0,True
AI-F,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF0-AIF100__4,0,80,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF100-AIF0__10,33,43,0.301898,0.42666,False
HR,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF100-AIF0__10,3,15,0.007538,0.015689,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF100-AIF0__10,12,0,0.000488,0.001245,True
HF,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF100-AIF0__10,18,3,0.00149,0.003596,True
AI-F,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF100-AIF0__10,0,25,2e-06,6e-06,True
overall,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF33-AIF67__4,24,101,0.0,0.0,True
HR,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF33-AIF67__4,1,18,7.6e-05,0.000221,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF33-AIF67__4,6,2,0.289062,0.409584,False
HF,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF33-AIF67__4,17,2,0.000729,0.001828,True
AI-F,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF33-AIF67__4,0,79,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF50-AIF50__4,19,101,0.0,0.0,True
HR,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF50-AIF50__4,2,13,0.007385,0.015386,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF50-AIF50__4,11,1,0.006348,0.013456,True
HF,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF50-AIF50__4,6,6,1.0,1.0,False
AI-F,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF50-AIF50__4,0,81,0.0,0.0,True
overall,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF67-AIF33__3,29,99,0.0,0.0,True
HR,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF67-AIF33__3,0,16,3.1e-05,9.5e-05,True
AI-R,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF67-AIF33__3,6,1,0.125,0.196441,False
HF,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF67-AIF33__3,23,2,6.3e-05,0.000185,True
AI-F,bert__HR0-AIR100-HF100-AIF0__13,distilbert__HR67-AIR33-HF67-AIF33__3,0,80,0.0,0.0,True
overall,bert__HR100-AIR0-HF100-AIF0__15,bert__HR100-AIR0-HF33-AIF67__11,37,42,0.652685,0.811658,False
HR,bert__HR100-AIR0-HF100-AIF0__15,bert__HR100-AIR0-HF33-AIF67__11,0,4,0.125,0.196441,False
AI-R,bert__HR100-AIR0-HF100-AIF0__15,bert__HR100-AIR0-HF33-AIF67__11,2,8,0.109375,0.177929,False
HF,bert__HR100-AIR0-HF100-AIF0__15,bert__HR100-AIR0-HF33-AIF67__11,35,0,0.0,0.0,True
AI-F,bert__HR100-AIR0-HF100-AIF0__15,bert__HR100-AIR0-HF33-AIF67__11,0,30,0.0,1e-06,True
overall,bert__HR100-AIR0-HF100-AIF0__15,bert__HR100-AIR0-HF50-AIF50__12,26,36,0.253038,0.361925,False
HR,bert__HR100-AIR0-HF100-AIF0__15,bert__HR100-AIR0-HF50-AIF50__12,0,3,0.25,0.357966,False
AI-R,bert__HR100-AIR0-HF100-AIF0__15,bert__HR100-AIR0-HF50-AIF50__12,15,2,0.00235,0.005478,True
